"regionId";"date";"LOB";"network";"newBusiness";"cancellation";"premium.av";"expense.av";"portfolio"
"01";2016-01-01;"Motor";"Brokers";2997;2969;478;481;20000
"01";2016-02-01;"Motor";"Brokers";2962;3093;462;435;20028
"01";2016-03-01;"Motor";"Brokers";2945;2913;422;455;19869
"01";2016-04-01;"Motor";"Brokers";3025;3046;437;470;20032
"01";2016-05-01;"Motor";"Brokers";2984;2978;472;441;19979
"01";2016-06-01;"Motor";"Brokers";3054;3025;408;469;20006
"01";2016-07-01;"Motor";"Brokers";3137;3011;446;478;20029
"01";2016-08-01;"Motor";"Brokers";2960;2986;435;460;20126
"01";2016-09-01;"Motor";"Brokers";2919;2992;458;455;19974
"01";2016-10-01;"Motor";"Brokers";2812;3010;445;478;19927
"01";2016-11-01;"Motor";"Brokers";3016;3044;384;463;19802
"01";2016-12-01;"Motor";"Brokers";2955;2933;445;466;19972
"01";2017-01-01;"Motor";"Brokers";2979;3139;463;452;20022
"01";2017-02-01;"Motor";"Brokers";2995;2993;458;463;19840
"01";2017-03-01;"Motor";"Brokers";3008;2970;488;452;20002
"01";2017-04-01;"Motor";"Brokers";3019;3004;410;470;20038
"01";2017-05-01;"Motor";"Brokers";3034;2971;459;431;20015
"01";2017-06-01;"Motor";"Brokers";2994;3012;421;458;20063
"01";2017-07-01;"Motor";"Brokers";3018;2980;453;435;19982
"01";2017-08-01;"Motor";"Brokers";2963;3055;420;414;20038
"01";2017-09-01;"Motor";"Brokers";3030;3031;480;458;19908
"01";2017-10-01;"Motor";"Brokers";3038;2952;444;445;19999
"01";2017-11-01;"Motor";"Brokers";3000;3020;402;491;20086
"01";2017-12-01;"Motor";"Brokers";3033;3049;444;477;19980
"02";2016-01-01;"Motor";"Brokers";2975;3007;458;430;20000
"02";2016-02-01;"Motor";"Brokers";2993;2958;437;428;19968
"02";2016-03-01;"Motor";"Brokers";2895;3148;430;454;20035
"02";2016-04-01;"Motor";"Brokers";2998;3050;442;432;19747
"02";2016-05-01;"Motor";"Brokers";3039;3071;457;442;19948
"02";2016-06-01;"Motor";"Brokers";3091;3040;428;437;19968
"02";2016-07-01;"Motor";"Brokers";2910;2970;468;459;20051
"02";2016-08-01;"Motor";"Brokers";2932;3044;460;432;19940
"02";2016-09-01;"Motor";"Brokers";3082;2939;422;431;19888
"02";2016-10-01;"Motor";"Brokers";2961;3055;425;439;20143
"02";2016-11-01;"Motor";"Brokers";3087;3048;444;460;19906
"02";2016-12-01;"Motor";"Brokers";2997;2987;480;454;20039
"02";2017-01-01;"Motor";"Brokers";2954;3097;445;419;20010
"02";2017-02-01;"Motor";"Brokers";2986;3111;451;455;19857
"02";2017-03-01;"Motor";"Brokers";2998;2964;480;479;19875
"02";2017-04-01;"Motor";"Brokers";3008;3023;415;436;20034
"02";2017-05-01;"Motor";"Brokers";3013;2956;470;448;19985
"02";2017-06-01;"Motor";"Brokers";3024;2955;467;455;20057
"02";2017-07-01;"Motor";"Brokers";3023;2987;451;445;20069
"02";2017-08-01;"Motor";"Brokers";3094;3041;432;469;20036
"02";2017-09-01;"Motor";"Brokers";3024;2919;439;460;20053
"02";2017-10-01;"Motor";"Brokers";2974;3054;437;469;20105
"02";2017-11-01;"Motor";"Brokers";2957;3104;474;470;19920
"02";2017-12-01;"Motor";"Brokers";3022;2996;469;446;19853
"03";2016-01-01;"Motor";"Brokers";3068;2927;474;499;20000
"03";2016-02-01;"Motor";"Brokers";2948;2932;460;439;20141
"03";2016-03-01;"Motor";"Brokers";3019;2952;443;473;20016
"03";2016-04-01;"Motor";"Brokers";2914;2977;471;443;20067
"03";2016-05-01;"Motor";"Brokers";3027;2901;435;475;19937
"03";2016-06-01;"Motor";"Brokers";2950;2921;438;442;20126
"03";2016-07-01;"Motor";"Brokers";2993;2875;463;467;20029
"03";2016-08-01;"Motor";"Brokers";2976;3132;442;473;20118
"03";2016-09-01;"Motor";"Brokers";2943;2973;448;438;19844
"03";2016-10-01;"Motor";"Brokers";3006;2969;454;469;19970
"03";2016-11-01;"Motor";"Brokers";3055;3092;492;447;20037
"03";2016-12-01;"Motor";"Brokers";2935;2986;445;448;19963
"03";2017-01-01;"Motor";"Brokers";3069;3061;458;429;19949
"03";2017-02-01;"Motor";"Brokers";2974;3021;495;468;20008
"03";2017-03-01;"Motor";"Brokers";3020;3053;454;433;19953
"03";2017-04-01;"Motor";"Brokers";2936;3042;462;438;19967
"03";2017-05-01;"Motor";"Brokers";3006;2977;414;461;19894
